model,metric,group,n,mean,std,ci95_low,ci95_high
resnet18,accuracy,E,5,0.8703296703296705,0.0032678176291301084,0.866272138826884,0.8743872018324569
resnet18,accuracy,F,5,0.8713286713286713,0.00839992927455662,0.8608987815609965,0.8817585610963461
resnet18,accuracy,G,5,0.8749250749250749,0.00771885865018255,0.8653408460319195,0.8845093038182302
resnet18,accuracy,H,5,0.86993006993007,0.007252224340811773,0.860925244059187,0.8789348958009531
resnet18,accuracy,I,5,0.8723276723276724,0.0032678176291301014,0.868270140824886,0.8763852038304588
resnet18,accuracy,baseline,5,0.8707292707292706,0.010515642251301336,0.8576723763278393,0.883786165130702
resnet18,balanced_accuracy,A,5,0.742103229038017,0.018963543679804854,0.7185568795724387,0.7656495785035952
resnet18,balanced_accuracy,B,5,0.6891676641017154,0.010627230472036411,0.6759722146239737,0.702363113579457
resnet18,balanced_accuracy,C,5,0.7153221155897752,0.011583766352249197,0.7009389699465832,0.7297052612329672
resnet18,balanced_accuracy,D,5,0.7108464784846114,0.028462198247996513,0.6755059916103358,0.746186965358887
resnet18,balanced_accuracy,E,5,0.734336451586664,0.02055283844624559,0.7088167320270626,0.7598561711462655
resnet18,balanced_accuracy,F,5,0.7213417904363069,0.022803475206328166,0.693027536238677,0.7496560446339368
resnet18,balanced_accuracy,G,5,0.732611370925276,0.013880331960839331,0.7153766624463846,0.7498460794041673
resnet18,balanced_accuracy,H,5,0.7351184510223832,0.022261159926869355,0.7074775701829331,0.7627593318618332
resnet18,balanced_accuracy,I,5,0.7430557142567131,0.012772936935075231,0.7271960183131031,0.7589154102003232
resnet18,balanced_accuracy,baseline,5,0.740567393810282,0.03195055095719053,0.7008955449639637,0.7802392426566004
resnet18,macro_auc_ovr,A,5,0.9747172363633391,0.001061744013699799,0.9733989070462197,0.9760355656804585
resnet18,macro_auc_ovr,B,5,0.9726722080071101,0.0018791758734325336,0.9703389029787758,0.9750055130354444
resnet18,macro_auc_ovr,C,5,0.9759201461813756,0.0007768104099289777,0.9749556086619369,0.9768846837008143
resnet18,macro_auc_ovr,D,5,0.9735225161068664,0.0029962125380175427,0.9698022268674432,0.9772428053462895
resnet18,macro_auc_ovr,E,5,0.9764362262472881,0.001009742260538677,0.9751824656349123,0.9776899868596639
resnet18,macro_auc_ovr,F,5,0.974905800670004,0.0021551234910758285,0.9722298614194519,0.9775817399205561
resnet18,macro_auc_ovr,G,5,0.9754018537026596,0.0019878048843831224,0.9729336679422675,0.9778700394630517
resnet18,macro_auc_ovr,H,5,0.9716831952525713,0.001788344592652703,0.9694626721554921,0.9739037183496505
resnet18,macro_auc_ovr,I,5,0.9760403332880573,0.0012824972212316656,0.9744479026606575,0.9776327639154571
resnet18,macro_auc_ovr,baseline,5,0.9747803837220292,0.001779354354874464,0.9725710234795345,0.976989743964524
resnet18,macro_f1,A,5,0.7724559191602574,0.015266788378561215,0.7534996976624022,0.7914121406581125
resnet18,macro_f1,B,5,0.7145338086290994,0.016111574246610205,0.6945286469326966,0.7345389703255023
resnet18,macro_f1,C,5,0.732393831786645,0.011554504152072816,0.7180470199639202,0.7467406436093698
resnet18,macro_f1,D,5,0.7154527137286437,0.03285299060383786,0.6746603380625317,0.7562450893947558
resnet18,macro_f1,E,5,0.7527920972482246,0.01859014949883178,0.7297093778942993,0.7758748166021499
resnet18,macro_f1,F,5,0.7421583438382872,0.023897391043751146,0.7124858137282643,0.7718308739483101
resnet18,macro_f1,G,5,0.7442694698331158,0.016963522778260867,0.7232064743166398,0.7653324653495919
resnet18,macro_f1,H,5,0.7514186089556751,0.01923504561543859,0.7275351453111778,0.7753020726001725
resnet18,macro_f1,I,5,0.7600887214342211,0.012588729714907059,0.7444577489641031,0.7757196939043391
resnet18,macro_f1,baseline,5,0.7526551228437736,0.03085814485756949,0.7143396753227729,0.7909705703647743
resnet18,macro_precision,A,5,0.8192614538767364,0.013196644071345562,0.8028756560362375,0.8356472517172354
resnet18,macro_precision,B,5,0.7658518673393007,0.034671705455139104,0.7228012589193293,0.808902475759272
resnet18,macro_precision,C,5,0.7641009571880908,0.02021995839145034,0.7389945628082487,0.7892073515679329
resnet18,macro_precision,D,5,0.7326674927416732,0.03663357150975373,0.6871809058723888,0.7781540796109576
resnet18,macro_precision,E,5,0.7776629387003549,0.01957771001163327,0.7533540010116364,0.8019718763890733
resnet18,macro_precision,F,5,0.7721563141906165,0.03039145711187759,0.7344203360418442,0.8098922923393888
resnet18,macro_precision,G,5,0.7642628057243439,0.02367132474111654,0.7348709740035094,0.7936546374451784
resnet18,macro_precision,H,5,0.7799943995083649,0.020523665797134338,0.7545109025768972,0.8054778964398326
resnet18,macro_precision,I,5,0.7832448910002064,0.01853940749430759,0.7602251761664957,0.8062646058339172
resnet18,macro_precision,baseline,5,0.7792043312737474,0.03505031006444319,0.7356836231408492,0.8227250394066457
resnet18,macro_recall,A,5,0.742103229038017,0.018963543679804854,0.7185568795724387,0.7656495785035952
resnet18,macro_recall,B,5,0.6891676641017154,0.010627230472036411,0.6759722146239737,0.702363113579457
resnet18,macro_recall,C,5,0.7153221155897752,0.011583766352249197,0.7009389699465832,0.7297052612329672
