model,metric,group_1,group_2,n,mean_difference,cohen_dz,p_raw,p_wilcoxon,p_holm
efficientnet_b0,balanced_accuracy,Controlnet,baseline,5,0.09717782217782209,3.762495811328868,0.0010926246192335743,0.0625,0.041519735530875825
efficientnet_b0,balanced_accuracy,Controlnet,flow,5,-0.05192307692307694,-4.469351761779987,0.0005633602560906804,0.0625,0.021971049987536535
efficientnet_b0,balanced_accuracy,DFMGAN,Derm-T2IM,5,-0.019597069597069618,-0.8121688521176877,0.14353187761842126,0.1875,1.0
efficientnet_b0,balanced_accuracy,DFMGAN,DreamBooth,5,0.01978021978021973,1.8121611414856822,0.01544874875721991,0.0625,0.4325649652021575
efficientnet_b0,balanced_accuracy,DFMGAN,LesionGen,5,0.038611388611388554,1.0078463969888571,0.08729523762660175,0.125,1.0
efficientnet_b0,balanced_accuracy,DFMGAN,Siamese,5,-0.009881784881784862,-0.42404095176375317,0.3967268004142968,0.4375,1.0
efficientnet_b0,balanced_accuracy,DFMGAN,T2I-Adapter,5,0.012337662337662359,0.45511685297197724,0.366380718954957,0.4375,1.0
efficientnet_b0,balanced_accuracy,DFMGAN,baseline,5,0.09265734265734256,8.01053767615731,5.709446812103871e-05,0.0625,0.002569251065446742
efficientnet_b0,balanced_accuracy,DFMGAN,flow,5,-0.056443556443556475,-1.8738632396888908,0.013805566021240183,0.0625,0.40865516938735225
efficientnet_b0,balanced_accuracy,Derm-T2IM,DreamBooth,5,0.03937728937728935,2.2014679362622367,0.007914463866639042,0.0625,0.25326284373244934
efficientnet_b0,balanced_accuracy,Derm-T2IM,LesionGen,5,0.05820845820845817,1.3651207445905515,0.0379352980995516,0.0625,0.8725118562896869
efficientnet_b0,balanced_accuracy,Derm-T2IM,Siamese,5,0.009715284715284756,1.7323952502125541,0.017936170739005212,0.0625,0.46634043921413554
efficientnet_b0,balanced_accuracy,Derm-T2IM,T2I-Adapter,5,0.03193473193473197,1.3096447124702248,0.042879885228239635,0.125,0.943357475021272
efficientnet_b0,balanced_accuracy,Derm-T2IM,baseline,5,0.11225441225441217,6.6154455748577705,0.00012157883980166127,0.0625,0.005349468951273096
efficientnet_b0,balanced_accuracy,Derm-T2IM,flow,5,-0.03684648684648686,-1.5606758219911772,0.025127924510764676,0.0625,0.628198112769117
efficientnet_b0,balanced_accuracy,DreamBooth,LesionGen,5,0.01883116883116882,0.5697774571659373,0.27163274394031145,0.8125,1.0
efficientnet_b0,balanced_accuracy,DreamBooth,Siamese,5,-0.029662004662004592,-1.8813096113241392,0.013621838979578409,0.0625,0.40865516938735225
efficientnet_b0,balanced_accuracy,DreamBooth,T2I-Adapter,5,-0.007442557442557373,-0.2916827061422696,0.5498393474586094,0.8125,1.0
efficientnet_b0,balanced_accuracy,DreamBooth,baseline,5,0.07287712287712282,5.423301039475015,0.0002652899403464302,0.0625,0.010936171321270522
efficientnet_b0,balanced_accuracy,DreamBooth,flow,5,-0.07622377622377621,-2.7576039819527747,0.003511793731928294,0.0625,0.119400986885562
efficientnet_b0,balanced_accuracy,LesionGen,Siamese,5,-0.04849317349317341,-1.261748720759716,0.04776229148518768,0.0625,1.0
efficientnet_b0,balanced_accuracy,LesionGen,T2I-Adapter,5,-0.026273726273726195,-0.747522022338522,0.16993967052242354,0.1875,1.0
efficientnet_b0,balanced_accuracy,LesionGen,baseline,5,0.054045954045954005,1.2579120143436855,0.048180624661537406,0.0625,1.0
efficientnet_b0,balanced_accuracy,LesionGen,flow,5,-0.09505494505494502,-2.791474703255909,0.0033573179724151188,0.0625,0.11750612903452916
efficientnet_b0,balanced_accuracy,Siamese,T2I-Adapter,5,0.02221944721944722,0.8891966281831031,0.11767858534980315,0.125,1.0
efficientnet_b0,balanced_accuracy,Siamese,baseline,5,0.10253912753912742,6.16838117949593,0.00016012489917809788,0.0625,0.006885370664658209
efficientnet_b0,balanced_accuracy,Siamese,flow,5,-0.04656177156177162,-2.0812872015282022,0.009633341706387053,0.0625,0.2986335928979986
efficientnet_b0,balanced_accuracy,T2I-Adapter,baseline,5,0.0803196803196802,2.861663207517174,0.003062943774317944,0.0625,0.11026597587544598
