model,metric,group_1,group_2,n,mean_difference,cohen_dz,p_raw,p_wilcoxon,p_holm
segformer,mDice,D,G,5,-0.0003111379487173771,-0.1778980471284314,0.7110993039910027,1.0,1.0
segformer,mDice,D,H,5,0.0008627023372974163,0.5570194414345683,0.280912326012068,0.625,1.0
segformer,mDice,D,I,5,0.00044088805472102254,0.13953474461416696,0.7706208610619295,0.8125,1.0
segformer,mDice,E,F,5,-0.00021501728347488313,-0.06190090937948189,0.8966012947246257,1.0,1.0
segformer,mDice,E,G,5,-0.0002527792017895658,-0.15639282920842254,0.7441958344212347,0.8125,1.0
segformer,mDice,E,H,5,0.0009210610842252276,0.5792954332078344,0.26490237620875134,0.4375,1.0
segformer,mDice,E,I,5,0.0004992468016488339,0.28524189094771624,0.5582736673424936,0.8125,1.0
segformer,mDice,F,G,5,-3.776191831468267e-05,-0.011684708429263585,0.9804069346886082,0.8125,1.0
segformer,mDice,F,H,5,0.0011360783677001108,0.3680745405837172,0.45672236478329614,0.625,1.0
segformer,mDice,F,I,5,0.0007142640851237169,0.1470999173184677,0.7587129475645251,1.0,1.0
segformer,mDice,G,H,5,0.0011738402860147934,1.7169043498282,0.018473510767530642,0.0625,0.3879437261181435
segformer,mDice,G,I,5,0.0007520260034383997,0.33307019622260164,0.4977897663686909,0.8125,1.0
segformer,mDice,H,I,5,-0.00042181428257639377,-0.17969802338106916,0.7083623327583387,0.8125,1.0
segformer,mIoU,A,B,5,0.08581338949374984,4.2964627058039735,0.0006561929431540135,0.0625,0.019029595351466394
segformer,mIoU,A,C,5,0.03927559357184871,4.657923640910865,0.00047996867572289593,0.0625,0.01535899762313267
segformer,mIoU,A,D,5,-0.002321849633882778,-0.4344600353193178,0.3863196054816546,0.8125,1.0
segformer,mIoU,A,E,5,-0.0022346014623994214,-0.5802541373262587,0.2642334512139294,0.3125,1.0
segformer,mIoU,A,F,5,-0.002810417653082831,-0.5824067588028053,0.26273743591834586,0.1875,1.0
segformer,mIoU,A,G,5,-0.002701677809228431,-0.7900698801884831,0.1520325139240616,0.3125,1.0
segformer,mIoU,A,H,5,-0.00021459207191809604,-0.0518444474788788,0.9132967969865836,0.8125,1.0
segformer,mIoU,A,I,5,-0.0012152693607471177,-0.22129865465293863,0.6466614957662125,0.4375,1.0
segformer,mIoU,B,C,5,-0.046537795921901125,-3.83056914053572,0.0010202111669426145,0.0625,0.023443168520818514
segformer,mIoU,B,D,5,-0.08813523912763262,-4.755652323594424,0.000442783401756173,0.0625,0.014611852257953709
segformer,mIoU,B,E,5,-0.08804799095614926,-4.0376118132535534,0.0008336855309085753,0.0625,0.020842138272714382
segformer,mIoU,B,F,5,-0.08862380714683267,-4.260824873286739,0.0006776340578532962,0.0625,0.019029595351466394
segformer,mIoU,B,G,5,-0.08851506730297827,-4.505723448925529,0.0005459530213738034,0.0625,0.0164811190550905
segformer,mIoU,B,H,5,-0.08602798156566793,-4.259508719805341,0.0006784424291170618,0.0625,0.019029595351466394
segformer,mIoU,B,I,5,-0.08702865885449695,-3.913663307415684,0.0009396948373325485,0.0625,0.022552676095981165
segformer,mIoU,C,D,5,-0.041597443205731485,-6.0627984619306625,0.0001713670068729993,0.0625,0.006169212247427975
segformer,mIoU,C,E,5,-0.04151019503424813,-4.260797807403695,0.0006776506694677036,0.0625,0.019029595351466394
segformer,mIoU,C,F,5,-0.04208601122493154,-4.536706231168779,0.0005316490017771129,0.0625,0.0164811190550905
segformer,mIoU,C,G,5,-0.04197727138107714,-5.51088423381199,0.00024917001106196157,0.0625,0.008720950387168655
segformer,mIoU,C,H,5,-0.03949018564376681,-4.861307118403875,0.000406522891828869,0.0625,0.013821778322181545
segformer,mIoU,C,I,5,-0.04049086293259583,-3.8314947549821614,0.0010192681965573267,0.0625,0.023443168520818514
segformer,mIoU,D,E,5,8.724817148335618e-05,0.018632358153654556,0.9687638802955467,0.8125,1.0
segformer,mIoU,D,F,5,-0.000488568019200053,-0.09068848315509946,0.8491998396453884,0.625,1.0
segformer,mIoU,D,G,5,-0.0003798281753456534,-0.12413364368237441,0.7950968527603406,1.0,1.0
segformer,mIoU,D,H,5,0.002107257561964682,0.7955447854908709,0.14987765846246867,0.1875,1.0
segformer,mIoU,D,I,5,0.00110658027313566,0.21821427560628115,0.6511290906155545,0.8125,1.0
segformer,mIoU,E,F,5,-0.0005758161906834092,-0.1059030392359181,0.8244400275721244,1.0,1.0
segformer,mIoU,E,G,5,-0.00046707634682900955,-0.21161182199046227,0.660752014389925,0.8125,1.0
segformer,mIoU,E,H,5,0.0020200093904813254,0.9384839944484475,0.1038273230178401,0.0625,1.0
segformer,mIoU,E,I,5,0.0010193321016523037,0.3582917411405174,0.46792470337390385,0.4375,1.0
segformer,mIoU,F,G,5,0.00010873984385439961,0.02049073219790964,0.9656510187461607,0.8125,1.0
segformer,mIoU,F,H,5,0.0025958255811647348,0.5427977399595684,0.29161249377681275,0.3125,1.0
segformer,mIoU,F,I,5,0.001595148292335713,0.20770790777503548,0.6664795701832253,1.0,1.0
segformer,mIoU,G,H,5,0.002487085737310335,1.9676878856059374,0.01169224394265855,0.0625,0.24553712279582954
segformer,mIoU,G,I,5,0.0014864084484813133,0.42761284296701957,0.3931323398838533,0.625,1.0
segformer,mIoU,H,I,5,-0.0010006772888290216,-0.2804780193171286,0.5645688990539756,0.625,1.0
unet,mDice,A,B,5,-0.04924835610937524,-3.027622356248398,0.002483895011620921,0.0625,0.06458127030214394
